id,title,description,availability,condition,price,link,image_link,brand,google_product_category
galvanizada-610,"Lamina galvanizada 6.10 x 0.82 m","Lamina galvanizada calibre 28, acabado anticorrosivo para techo, cerramiento y bodega. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,800.00 MXN,https://www.eisenhaus.lat/#galvanizada-610,https://www.eisenhaus.lat/assets/productos/galvanizada.jpeg,EISENHAUS,Hardware > Building Materials > Roofing
galvanizada-550,"Lamina galvanizada 5.50 x 0.82 m","Lamina galvanizada calibre 28, acabado anticorrosivo para techo, cerramiento y bodega. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,785.00 MXN,https://www.eisenhaus.lat/#galvanizada-550,https://www.eisenhaus.lat/assets/productos/galvanizada.jpeg,EISENHAUS,Hardware > Building Materials > Roofing
galvanizada-488,"Lamina galvanizada 4.88 x 0.82 m","Lamina galvanizada calibre 28, acabado anticorrosivo para techo, cerramiento y bodega. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,660.00 MXN,https://www.eisenhaus.lat/#galvanizada-488,https://www.eisenhaus.lat/assets/productos/galvanizada.jpeg,EISENHAUS,Hardware > Building Materials > Roofing
galvanizada-427,"Lamina galvanizada 4.27 x 0.82 m","Lamina galvanizada calibre 28, acabado anticorrosivo para techo, cerramiento y bodega. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,580.00 MXN,https://www.eisenhaus.lat/#galvanizada-427,https://www.eisenhaus.lat/assets/productos/galvanizada.jpeg,EISENHAUS,Hardware > Building Materials > Roofing
galvanizada-366,"Lamina galvanizada 3.66 x 0.82 m","Lamina galvanizada calibre 28, acabado anticorrosivo para techo, cerramiento y bodega. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,510.00 MXN,https://www.eisenhaus.lat/#galvanizada-366,https://www.eisenhaus.lat/assets/productos/galvanizada.jpeg,EISENHAUS,Hardware > Building Materials > Roofing
galvanizada-305,"Lamina galvanizada 3.05 x 0.82 m","Lamina galvanizada calibre 28, acabado anticorrosivo para techo, cerramiento y bodega. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,425.00 MXN,https://www.eisenhaus.lat/#galvanizada-305,https://www.eisenhaus.lat/assets/productos/galvanizada.jpeg,EISENHAUS,Hardware > Building Materials > Roofing
galvanizada-244,"Lamina galvanizada 2.44 x 0.82 m","Lamina galvanizada calibre 28, acabado anticorrosivo para techo, cerramiento y bodega. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,360.00 MXN,https://www.eisenhaus.lat/#galvanizada-244,https://www.eisenhaus.lat/assets/productos/galvanizada.jpeg,EISENHAUS,Hardware > Building Materials > Roofing
plastiteja-600,"Plastiteja roja 6.0 x 1.05 m","Plastiteja premium 5 mm, acabado tipo teja para casa, cochera y areas visibles. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,1430.00 MXN,https://www.eisenhaus.lat/#plastiteja-600,https://www.eisenhaus.lat/assets/productos/plastiteja.jpeg,EISENHAUS,Hardware > Building Materials > Roofing
plastiteja-500,"Plastiteja roja 5.0 x 1.05 m","Plastiteja premium 5 mm, acabado tipo teja para casa, cochera y areas visibles. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,1200.00 MXN,https://www.eisenhaus.lat/#plastiteja-500,https://www.eisenhaus.lat/assets/productos/plastiteja.jpeg,EISENHAUS,Hardware > Building Materials > Roofing
plastiteja-400,"Plastiteja roja 4.0 x 1.05 m","Plastiteja premium 5 mm, acabado tipo teja para casa, cochera y areas visibles. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,970.00 MXN,https://www.eisenhaus.lat/#plastiteja-400,https://www.eisenhaus.lat/assets/productos/plastiteja.jpeg,EISENHAUS,Hardware > Building Materials > Roofing
plastiteja-300,"Plastiteja roja 3.0 x 1.05 m","Plastiteja premium 5 mm, acabado tipo teja para casa, cochera y areas visibles. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,740.00 MXN,https://www.eisenhaus.lat/#plastiteja-300,https://www.eisenhaus.lat/assets/productos/plastiteja.jpeg,EISENHAUS,Hardware > Building Materials > Roofing
plastiteja-200,"Plastiteja roja 2.0 x 1.05 m","Plastiteja premium 5 mm, acabado tipo teja para casa, cochera y areas visibles. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,510.00 MXN,https://www.eisenhaus.lat/#plastiteja-200,https://www.eisenhaus.lat/assets/productos/plastiteja.jpeg,EISENHAUS,Hardware > Building Materials > Roofing
caballete-plastiteja,"Caballete de plastiteja","Remate para cumbrera, mismo acabado premium que la plastiteja roja. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,600.00 MXN,https://www.eisenhaus.lat/#caballete-plastiteja,https://www.eisenhaus.lat/assets/productos/plastiteja.jpeg,EISENHAUS,Hardware > Building Materials > Roofing
polin-c-3,"Polin C tipo 3","Perfil tipo C para techumbres, soportes y estructuras metalicas ligeras, tramo de 6 m. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,620.00 MXN,https://www.eisenhaus.lat/#polin-c-3,https://www.eisenhaus.lat/assets/productos/polin-c.jpeg,EISENHAUS,Hardware > Building Materials > Structural Steel
polin-c-4,"Polin C tipo 4","Perfil tipo C para techumbres, soportes y estructuras metalicas ligeras, tramo de 6 m. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,720.00 MXN,https://www.eisenhaus.lat/#polin-c-4,https://www.eisenhaus.lat/assets/productos/polin-c.jpeg,EISENHAUS,Hardware > Building Materials > Structural Steel
pija-punta-broca,"Pija punta de broca (ciento)","Tornillo autoperforante para fijar lamina y plastiteja a estructura metalica. Precio por ciento. Entrega en Hermosillo y Navojoa y alrededores.",in stock,new,180.00 MXN,https://www.eisenhaus.lat/#pija-punta-broca,https://www.eisenhaus.lat/assets/productos/pija.jpeg,EISENHAUS,Hardware > Fasteners
